LEAID,LEA_NAME,LEA_STATE_NAME,ENROLLMENT_TOTAL,FTE_LEO,REFERRALS_TOTAL
3620580,NEW YORK CITY PUBLIC SCHOOLS,NEW YORK,"966,510",0,"3,053"
0622710,Los Angeles Unified,CALIFORNIA,"511,610",143,"4,931"
1709930,City of Chicago SD 299,ILLINOIS,"371,473",269,"8,392"
1200390,DADE,FLORIDA,"354,848",0,546
7200030,PUERTO RICO DEPARTMENT OF EDUCATION,PUERTO RICO,"348,330",0,84
3200060,CLARK COUNTY SCHOOL DISTRICT,NEVADA,"328,587",61,816
1200180,BROWARD,FLORIDA,"271,945",0,"2,389"
1200870,HILLSBOROUGH,FLORIDA,"216,919",9,"1,986"
4823640,HOUSTON ISD,TEXAS,"214,102",121,693
1201440,ORANGE,FLORIDA,"204,720",1,"1,282"
1201500,PALM BEACH,FLORIDA,"193,462",0,448
5101260,FAIRFAX CO PBLC SCHS,VIRGINIA,"187,001",53,636
1500030,Hawaii Department of Education,HAWAII,"180,814",1,758
1302550,Gwinnett County,GEORGIA,"178,996",67,564
3704720,Wake County Schools,NORTH CAROLINA,"162,339",0,"1,791"
2400480,Montgomery County Public Schools,MARYLAND,"162,021",27,886
4816230,DALLAS INDEPENDENT SCHOOL DISTRICT,TEXAS,"156,739",71,84
3702970,Charlotte-Mecklenburg Schools,NORTH CAROLINA,"150,306",79,205
2400510,Prince George's County Public Schools,MARYLAND,"144,738",0,350
4218990,Philadelphia City SD,PENNSYLVANIA,"130,231",0,"4,495"
1200480,DUVAL,FLORIDA,"129,478",0,"1,087"
4816110,CYPRESS-FAIRBANKS ISD,TEXAS,"116,349",34,0
2400120,Baltimore County Public Schools,MARYLAND,"113,143",65,502
1301290,Cobb County,GEORGIA,"111,695",119,515
4700148,Shelby County,TENNESSEE,"109,163",40,15
4833120,NORTHSIDE ISD,TEXAS,"106,569",45,61
0634320,San Diego Unified,CALIFORNIA,"105,159",17,982
1201590,POLK,FLORIDA,"104,035",0,"2,961"
1201560,PINELLAS,FLORIDA,"101,653",0,"1,719"
1301740,DeKalb County,GEORGIA,"99,702",53,35
